Name of Judge,Date of appointment to SC,Date of retirement from SC,Whether CJI of SC,"If yes, date of appointment as CJI",Date of Birth,State of Birth,Gender,Religion,Caste (Savarna/ OBC/SC/ST),Highest Degree Obtained from university,Year of Enrollment to Bar,Which State Bar was he enrolled in,Was Senior Advocate?,"If Yes, Year of appointment as Senior Advocate",Whether direct appointee to SC?,"If no, parent HC","Nature of Appointment to parent HC (1 = Permanent, 0=Addl, 3= DNA)",Date of appointment to such parent HC addln.,Whether made permanent at parent HC [Y/N],Date of appointment to such parent HC permanently,Appointment in any other HC as a judge?,Name of Such other  1,Name of Such other  2,Date of appointment to such  2,Whether CJ of a ? Y/N,"If Y, how many?",Date of appointment as Chief Justice of  (first such appointment).,Name of the HC where appointed as Chief Justice  (first such appointment).,Date of Second Appointment as CJ,Name of the HC where appointed as Chief Justice  (second such appointment).,Date of Third Appointment as CJ,Name of the HC where appointed as Chief Justice  (Third such appointment).,Whether a trial court judge,Whether a government lawyer (public prosecutor/ standing counsel for a state/ law officer),"If yes, what type",Area of Practice 1 (in order mentioned in profile),Area of Practice 2,Area of Practice 3,Area of Practice 4,Area of Practice 5,Area of Practice 6,Area of Practice 7,Area of Practice 8,Area of Practice 9
"Aziz Mushabeer Ahmadi
",14-12-1988,24-03-1997,1,25-10-1994,25-03-1932,Gujarat,0,NA,NA,NA,1954,Gujarat,0,NA,0,Gujarat,NA,NA,1,02-09-1976,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jagdish Sharan Verma
",03-06-1989,17-01-1998,1,25-03-1997,18-01-1933,Madhya Pradesh,0,NA,NA,University of Allahabad,1959,Madhya Pradesh,0,NA,0,Madhya Pradesh,0,09-12-1972,NA,NA,1,Rajasthan,NA,NA,1,2,27.10.1985*,Madhya Pradesh,1.9.1986,Rajasthan,NA,NA,0,0,NA,constitutional,civil,criminal,taxation,revenue,NA,NA,NA,NA
Madan Mohan Punchhi,06-10-1989,10-09-1998,1,18-01-1998,10-10-1933,"Montgomery, Pakistan",0,NA,NA,Delhi University,1955,Punjab,0,NA,0,Punjab,0,24-10-1979,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dr. Adarsh Sein Anand
",18-11-1991,31-10-2001,1,10-10-1998,01-11-1936,Jammu and Kashmir,0,NA,NA,Lucknow University; London University,1964,Punjab,0,NA,0,Jammu and Kashmir,0,26-05-1975,NA,NA,1,Madras,NA,NA,1,2,26.5.1984*,Jammu and Kashmir,1.11.1989,Madras,NA,NA,0,0,NA,Constitutional Law of the Commonwealth,Labour Laws,NA,NA,NA,NA,NA,NA,NA
"Sam Piroj Bharucha
",01-07-1992,05-05-2002,1,11-01-2001,05-05-1937,Maharashtra,0,NA,NA,NA,1960,Maharsashtra,0,NA,0,Bombay,NA,NA,1,19-08-1977,1,Karnataka,NA,NA,1,1,01-11-1991,Karnataka,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhupinder Nath Kirpal
",11-09-1995,11-07-2002,1,05-06-2002,11-08-1937,Delhi,0,NA,NA,NA,1962,Delhi,0,N,0,Delhi,0,20-11-1979,1,NA,1,Gujarat,NA,NA,1,1,14-12-1993,Gujarat,NA,NA,NA,NA,0,1,Central Government Standing Counsel,NA,Taxation,NA,NA,NA,NA,NA,NA,NA
"Gopal Ballav Patnaik
",11-09-1995,18-12-2002,1,11-08-2002,19-12-1937,Orissa,0,NA,NA,NA,1962,Orissa,0,N,0,Orissa,NA,NA,1,01-06-1983,1,Patna,NA,NA,1,1,19-05-1995,Patna,NA,NA,NA,NA,0,1,Government Advocate,Civil,Criminal,Constitutional,Company,NA,NA,NA,NA,NA
"Visheshwar Nath Khare
",21-03-1997,05-01-2004,1,19-12-2002,02-05-1939,Uttar Pradesh,0,NA,NA,NA,1961,Uttar Pradesh,0,NA,0,Allahabad,NA,NA,1,25-06-1983,1,Calcutta,NA,NA,1,1,02-02-1996,Calcutta,NA,NA,NA,NA,0,1,Chief Standing Counsel for UP State Government,Civil,Writ,Revenue,NA,NA,NA,NA,NA,NA
"S. Rajendra Babu
",25-09-1997,31-05-2004,1,05-02-2004,01-06-1939,Karnataka,0,NA,NA,NA,1969,Karnataka,0,NA,0,Karnataka,NA,NA,1,19-02-1988,0,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,0,1,Government Pleader for Government of Karnataka,Taxation,Constitutional,Civil,NA,NA,NA,NA,NA,NA
"Ramesh Chandra Lahoti
",09-12-1998,31-10-2005,1,06-01-2004,11-01-1940,Madhya Pradesh,0,NA,NA,NA,1962,Madhya Pradesh,0,NA,0,Madhya Pradesh,0,03-05-1988,1,NA,1,Delhi,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y.K. Sabharwal
",28-01-2000,13-01-2007,1,11-01-2005,14-01-1942,Delhi,0,NA,NA,NA,1964,Delhi,0,N,0,Delhi,0,17-11-1986,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,International Law,Constitutional matters,Criminal Laws,Public Interest Litigation,Environmental Laws,NA,NA,NA,NA
"Konakuppakatil Gopinathan Balakrishnan
",08-06-2000,05-12-2010,1,14-01-2007,05-12-1945,Kerala,0,NA,NA,NA,1973,Kerala,0,NA,0,Kerala,NA,NA,1,26-09-1985,1,Gujarat,Madras,NA,1,1,09-09-1999,Madras,NA,NA,NA,NA,0,0,NA,Civil Laws,Criminal Laws,NA,NA,NA,NA,NA,NA,NA
"S.H. Kapadia
",18-12-2003,28-09-2012,1,05-12-2010,29-09-1947,Maharashtra,0,NA,NA,NA,1974,Maharashtra,0,NA,0,Bombay,0,08-10-1991,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Letters Patent Appeals,Writs,matters under Negotiable Instruments Act,Detention Matters,matters under Bombay Rent Act,NA,NA,NA,NA
"Altamas Kabir
",09-09-2005,18-07-2013,1,29-09-2012,19-07-1948,West Bengal,0,NA,NA,NA,1973,West Bengal,0,NA,0,Calcutta,NA,NA,1,06-08-1990,1,Jharkhand,NA,NA,1,1,01-03-2005,Jharkhand,NA,NA,NA,NA,0,0,NA,NA,Civil,Criminal,NA,NA,NA,NA,NA,NA
"P. Sathasivam
",21-08-2007,26-04-2014,1,19-07-2013,27-04-1949,Tamil Nadu,0,NA,NA,NA,1973,Tamil Nadu,0,NA,0,Madras,NA,NA,1,08-01-1996,1,Punjab and Haryana,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Special Government Pleader,Writ,Civil,Criminal,Company,Insolvency petitions,Habeas Corpus,NA,NA,NA
R. M. Lodha,17-12-2008,27-09-2014,1,27-04-2014,28-09-1949,Rajasthan,0,NA,NA,University of Jodhpur,1973,Rajasthan,0,NA,0,Rajasthan,NA,NA,1,31-01-1994,1,Bombay,Patna,NA,1,1,"13th May, 2008",Patna,NA,NA,NA,NA,0,1,Standing counsel for state and central government,Constitutional,Civil,Company,Criminal,Taxation,Labour,NA,NA,NA
"H.L. Dattu
",17-12-2008,12-02-2015,1,28-09-2014,03-12-1950,Karnataka,0,NA,NA,NA,1975,Karnataka,0,NA,0,Karnataka,NA,NA,1,18-12-1995,1,Chattisgarh,Kerala,NA,1,1,12.02.2007,Chattisgarh,NA,NA,NA,NA,0,1,Stadning Counsel,Civil,Criminal Laws,Constitutional,Taxation,NA,NA,NA,NA,NA
"T.S. Thakur
",17-11-2009,01-03-2017,1,12-03-2015,04-01-1952,NA,0,NA,NA,NA,NA,NA,1,1990,0,Jammu and Kashmir,0,16-02-1994,1,NA,1,of Karnataka,of Delhi,NA,1,2,09.04.2008*,Delhi,11-08-2008,Punjab and Haryana,NA,NA,0,0,NA,Civil,Criminal Laws,Constitutional,Taxation,Service matters,NA,NA,NA,NA
"Jagdish Singh Khehar
",01-04-2017,27-08-2017,1,01-04-2017,28-08-1952,Punjab,0,NA,NA,Panjab University,1979,Punjab and Haryana,1,1995,0,Punjab,NA,NA,1,08-02-1999,1,Uttarakhand,Karnataka,NA,1,3,"August 02, 2008*",Punjab and Haryana,29-11-2009,Uttarakhand,NA,NA,0,1,"Additional Advocate General, Punjab",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dipak Misra
",10-10-2011,10-02-2018,1,28-08-2017,03-10-1953,NA,0,NA,NA,NA,1977,Orissa,0,N,0,Orissa,0,17-01-1996,1,NA,1,Madhya Pradesh,Patna,NA,1,2,"23rd December, 2009",Patna,24-05-2010,Delhi,NA,NA,0,0,NA,Constitutional,Civil,Criminal,Revenue,Service and Sales Tax,NA,NA,NA,NA
"Ranjan Gogoi
",23-04-2012,17-11-2019,1,10-03-2018,18-11-1954,NA,0,NA,NA,NA,1978,Assam,NA,NA,0,Gauhati,NA,NA,1,28-02-2001,1,Punjab and Haryana,NA,NA,1,1,"12th February, 2011",Punjab and Haryana,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saiyid Fazl Ali
",26-01-1950,18-09-1951,0,NA,1886/09/19,Uttar Pradesh,0,Islam,NA,Allahabad University,1912,Bihar,0,NA,0,Patna,1,NA,1,01-04-1928,0,NA,NA,NA,1,1,1928*,Patna,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nagapudi Chandrasekhara Aiyar
",23-09-1950,24-01-1953,0,NA,1888/01/25,Tamil Nadu,0,Hindu,NA,Madras University,1910,Tamil Nadu,0,NA,0,Madras,NA,NA,1,01-07-1941,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,Civil,Industrial,Bank Disputes,NA,NA,NA,NA,NA,NA
"Vivian Bose
",03-05-1951,06-08-1956,0,NA,1891/06/09,Gujarat,0,Christian,NA,Cambridge,1924,Maharashtra,0,NA,0,Nagpur,1,NA,1,09-01-1936,0,NA,NA,NA,1,1,02-05-1905,Nagpur,NA,NA,NA,NA,1,1,Standing Counsel,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghulam Hasan
",09-08-1952,11-05-1954,0,NA,1891/07/03,Punjab,0,Islam,NA,Allahabad University,1917,Uttar Pradesh,NA,NA,0,Allahabad,1,NA,1,01-08-1940,0,NA,NA,NA,1,1,1946,Oudh,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Natwarlal Harilal Bhagwati
",08-09-1952,06-06-1959,0,NA,1894/08/07,Gujarat,0,NA,NA,"Government Law College, Bombay",1921,Maharashtra,0,NA,0,Bombay,0,27-08-1944,1,17-02-1946,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bachu Jagannadhadas
",03-09-1953,26-07-1958,0,NA,1893/07/27,Orissa,0,NA,NA,Madras University,1918,Tamil Nadu,0,NA,0,Orissa,1,NA,1,26-07-1948,0,NA,NA,NA,1,1,30-10-1951,Orissa,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tirunelveli Lakshamanasuri Venkatarama Aiyyar
",01-04-1954,24-11-1958,0,NA,1893/11/25,Tamil Nadu,0,Hindu,Brahmin,Madras University,1917,Tamil Nadu,0,NA,0,Madras,0,NA,1,07-01-1951,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syed Jaffer Imam,10-01-1955,31-01-1964,0,NA,18-04-1900,Bihar,0,Islam,NA,Cambridge University,1922,Bihar,NA,NA,0,Patna,1,NA,1,01-10-1943,NA,NA,NA,NA,1,1,03-09-1953,Patna,NA,NA,NA,NA,0,1,"Advocate General, Bihar",NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudhansu Kumar Das,30-04-1956,02-09-1963,2,01-08-1963,1898/09/03,Bihar,0,NA,NA,University of London,NA,NA,NA,NA,0,Patna,0,04-11-1944,1,12-01-1948,NA,NA,NA,NA,1,1,10-01-1955,Patna,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. Govinda Menon
",01-09-1956,16-10-1957,0,NA,1896/09/10,Kerala,0,NA,NA,Madras University,1920,Tamil Nadu,0,NA,0,Madras,0,28-07-1947,1,DNA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Crown Prosecutor,Civil,Criminal,Hindu Law,Marumakhattayam and Allyasantana Law,NA,NA,NA,NA,NA
"Jeevan Lal Kapur
",14-01-1957,12-12-1962,0,NA,1897/12/13,Undivided Punjab,0,NA,NA,Punjab University,1922,Punjab,0,NA,0,Punjab,0,06-06-1949,1,26-07-1949,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Law of Adoption,NA,NA,NA,NA,NA,NA,NA,NA
"Kulada Charan Das Gupta
",24-08-1959,01-02-1965,0,NA,03-01-1900,Undivided Bengal,0,NA,NA,Calcutta University; Cambridge,1938,West Bengal,0,NA,0,Calcutta,NA,NA,1,01-06-1948,0,NA,NA,NA,1,1,01-10-1958,Calcutta,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N. Rajagopala Ayyangar,27-07-1960,14-12-1964,0,NA,13-03-1905,NA,0,NA,NA,NA,1926,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,1,Federal Court of India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Janardan Rangnath Mudholkar,03-10-1960,03-07-1966,0,NA,09-05-1902,NA,0,NA,NA,"Elphinstone College, Bombay; Sidney Sussex College, Cambridge",1925,Andhra Pradesh,NA,NA,0,Nagpur,0,21-06-1948,1,11-11-1948,1,Nagpur,Bombay,NA,1,1,"*August, 1960",Bombay,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranadhir Singh Bachawat,07-09-1964,31-07-1969,0,NA,01-08-1904,West Bengal,0,NA,NA,"St. Xavier's College, Calcutta",1931,West Bengal,NA,NA,0,Calcutta,NA,NA,1,03-05-1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaidynathier Ramaswami,04-01-1965,29-10-1969,0,NA,30-10-1904,NA,0,NA,NA,"Universities of Allahabad and Oxford and Inner Temple, London",NA,NA,NA,NA,0,Patna,NA,NA,1,01-11-1947,NA,NA,NA,NA,1,1,30-04-1956,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. Satyanarayana Raju,20-10-1965,20-04-1966,0,NA,17-08-1908,NA,0,NA,NA,"Tanuku, Vizianagaram, Madras.",NA,Tamil Nadu,NA,NA,0,Madras,NA,NA,NA,25-09-1930,1,Andhra Pradesh,NA,NA,1,1,30-12-1964,NA,NA,NA,NA,NA,0,1,Government Pleader of the Composite Madras State,NA,NA,NA,NA,NA,NA,NA,NA,NA
J.M. Shela,24-02-1966,30-04-1973,0,NA,16-07-1908,NA,0,NA,NA,"University of Bombay, Uniersity of London",1993,Maharashtra,NA,NA,0,Bombay,NA,NA,NA,NA,1,Gujarat,NA,NA,1,1,23-05-1963,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vashishtha Bhargava,08-08-1966,04-02-1971,0,NA,05-02-1906,NA,0,NA,NA,University of Allahabad,NA,NA,NA,NA,0,Allahabad,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gopendra Krishna Mitter,29-08-1966,23-09-1971,0,NA,24-09-1906,NA,0,NA,NA,"University College, London",NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,1,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.A. Vaidialingam,10-10-1966,29-06-1972,0,NA,30-06-1907,NA,0,NA,NA,Presidency College and Law College,1931,Tamil Nadu,NA,NA,0,Madras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kawdoor Sadananda Hegde,17-07-1967,30-04-1973,0,NA,11-06-1909,NA,0,NA,NA,"St. Aloysius College, Mangalore; Presidency College and Law College",1936,Tamil Nadu,NA,NA,0,Mysore,NA,NA,NA,26-08-1957,1,Delhi,NA,NA,1,1,31-10-1967,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amar Nath Grover,11-02-1968,31-05-1973,0,NA,15-02-1912,NA,0,NA,NA,"Government Coll., Lahore; Christ Coll. Cambridge, M.A., (Hist.) Punjab; Law Tripos, Cambridge, 1935; LL.B., Cambridge",1936,NA,NA,NA,0,"Lahore, Simla, Chandigarh",NA,NA,NA,NA,1,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pingle Jaganmohan Reddy
",08-01-1969,22-01-1975,0,NA,23-01-1910,NA,0,NA,NA,Cambridge University,1937,Andhra Pradesh,0,NA,0,Hyderabad,NA,NA,1,05-05-1905,0,Andhra Pradesh,NA,NA,1,1,19-07-1966,Andhra Pradesh,NA,NA,NA,NA,1,0,N,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I.D. Dua
",08-01-1969,10-03-1972,0,NA,04-08-1907,NA,0,NA,NA,"Forman Christian College,Lahore",1933,Punjab,1,1944,0,Punjab,NA,NA,1,11-05-1905,1,Delhi,NA,NA,1,1,01-07-1967,Delhi,NA,NA,NA,NA,0,1,Central Government Counsel,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Subimal Chandra Roy
",19-07-1971,11-12-1971,0,NA,29-05-1912,NA,0,NA,NA,Calcutta University,1937,West Bengal,1,1968,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Senior Counsel for Union of India,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devidas Ganpat Palekar
",19-07-1971,09-03-1974,0,NA,04-08-1909,NA,0,NA,NA,"Government Law College, Bombay",1934,Maharashtra,0,NA,0,Bombay,0,14-10-1961,1,27-08-1962,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hans Raj Khanna,22-09-1971,03-11-1977,0,NA,03-07-1912,NA,0,NA,NA,"Law College, Lahore","Enrolled as Pleader; Practised at Amritsar till January, 1952",Punjab,0,NA,0,Punjab,NA,NA,NA,15-05-1905,1,Delhi,NA,NA,1,1,22-05-1905,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kuttyil Kurien Mathew",10-04-1971,01-02-1976,0,NA,03-01-1911,NA,0,NA,NA,"Law College, Trivandrum",1935,Kerala,0,NA,0,Kerala,NA,NA,NA,15-05-1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Advocate General,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Surendra Narayan Dwivedi
",14-08-1972,12-08-1974,0,NA,01-10-1913,NA,0,NA,NA,University of Lahore,1943,NA,NA,NA,0,Allahabad,NA,NA,NA,05-12-1959,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Junior Standing Counsel,Civil Laws,NA,NA,NA,NA,NA,NA,NA,NA
Arun Kumar Mukherjea,14-08-1972,23-10-1973,0,NA,20-01-1915,NA,0,NA,NA,"School of Oriental Studies, London",1951,West Bengal,NA,NA,0,Calcutta,NA,NA,NA,12-12-1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Alagiriswami,17-10-1972,16-10-1975,0,NA,17-10-1972,NA,0,NA,NA,Presidency College,NA,NA,NA,NA,0,Madras,NA,NA,NA,11-08-1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Government Pleader,NA,NA,NA,NA,NA,NA,NA,NA,NA
V.R. Krishna Iyer,17-07-1973,14-11-1980,0,NA,01-11-1915,NA,0,NA,NA,NA,NA,NA,NA,NA,0,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parbati Kumar Goswami,10-09-1973,31-12-1977,0,NA,01-01-1913,NA,0,NA,NA,"Earle Law College, Gauhati",1943,West Bengal,1,1953,0,Gauhati,NA,NA,NA,NA,NA,NA,NA,NA,1,1,31-01-1970,Gauhati,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranjit Singh Sarkaria,17-09-1973,15-01-1981,0,NA,16-01-1916,NA,0,NA,NA,"University Law College, Lahore",1940,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,1,Punjab and Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alak Chandra Gupta,02-09-1974,31-12-1981,0,NA,01-01-1917,NA,0,NA,NA,"Presidency College, Calcutta",1945,NA,NA,NA,0,Calcutta,NA,NA,NA,24-02-1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N.L. Untwalia,03-10-1974,31-07-1980,0,NA,01-08-1915,NA,0,NA,NA,"University Law College, Calcutta",1944,Bihar,NA,NA,0,Patna,NA,NA,NA,04-11-1958,NA,NA,NA,NA,1,1,29-09-1972,Patna,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. Murtaza Fazal Ali,02-04-1975,20-08-1985,0,NA,20-12-1920,NA,0,NA,NA,Patna University,1944,NA,NA,NA,0,Jammu and Kashmir,NA,NA,NA,09-04-1958,NA,NA,NA,NA,1,1,01-12-1967,of Jammu and Kashmir,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prakash Narayan Shingal
",11-06-1975,14-10-1980,0,NA,15-10-1915,NA,0,NA,NA,Rajasthan,NA,NA,NA,NA,0,Rajasthan,0,21-06-1961,1,NA,0,NA,NA,NA,1,1,17-02-1975,Rajasthan,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaswant Singh
",23-01-1976,24-01-1979,0,NA,25-01-1914,NA,0,NA,NA,"Forman Christian College, Lahore",1936,Jammu and Kashmir,0,NA,0,Jammu and Kashmir,0,16-03-1967,1,12-03-1967,0,NA,NA,NA,1,1,04-02-1975,Jammu and Kashmir,NA,NA,NA,NA,0,1,Advocate General,Constitutional Law,NA,NA,NA,NA,NA,NA,NA,NA
"P.S. Kailasam
",01-03-1977,09-11-1980,0,NA,09-12-1915,NA,0,NA,NA,NA,1938,Tamil Nadu,0,NA,0,Madras,NA,NA,1,01-10-1960,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Public Prosecutor,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V.D. Tulzapurkar
",30-09-1977,08-03-1986,0,NA,09-03-1921,NA,0,NA,NA,"Government Law College, Madras",1942,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dhirajlal Ambelal Desai
",30-09-1977,05-08-1985,0,NA,09-05-1920,NA,0,NA,NA,NA,1945,Maharashtra,0,NA,0,Gujarat,0,19-02-1968,1,19-02-1969,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,Civil,Criminal,Tenancy,Land Revenue,Labour and Industrial,Central Excise,NA,NA,NA
