Name of Judge,Date of appointment to SC,Date of retirement from SC,Whether CJI of SC,"If yes, date of appointment as CJI",Date of Birth,State of Birth,Gender,Religion,Caste (Savarna/ OBC/SC/ST),Highest Degree Obtained from university,Year of Enrollment to Bar,Which State Bar was he enrolled in,Was Senior Advocate?,"If Yes, Year of appointment as Senior Advocate",Whether direct appointee to SC?,"If no, parent HC","Nature of Appointment to parent HC (1 = Permanent, 0=Addl, 3= DNA)",Date of appointment to such parent HC addln.,Whether made permanent at parent HC [Y/N],Date of appointment to such parent HC permanently,Appointment in any other HC as a judge?,Name of Such other  1,Name of Such other  2,Date of appointment to such  2,Whether CJ of a ? Y/N,"If Y, how many?",Date of appointment as Chief Justice of  (first such appointment).,Name of the HC where appointed as Chief Justice  (first such appointment).,Date of Second Appointment as CJ,Name of the HC where appointed as Chief Justice  (second such appointment).,Date of Third Appointment as CJ,Name of the HC where appointed as Chief Justice  (Third such appointment).,Whether a trial court judge,Whether a government lawyer (public prosecutor/ standing counsel for a state/ law officer),"If yes, what type",Area of Practice 1 (in order mentioned in profile),Area of Practice 2,Area of Practice 3,Area of Practice 4,Area of Practice 5,Area of Practice 6,Area of Practice 7,Area of Practice 8,Area of Practice 9
"A.D. Koshal
",17-07-1978,03-06-1982,0,NA,07-03-1917,Punjab,0,NA,NA,"Law College, Lahore",1936,Punjab,0,NA,0,Punjaba and Haryana,NA,NA,1,28-05-1968,1,Madras,NA,NA,1,1,28-05-1968,Punjab and Haryana,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ontethupalli Chinnappa Reddy
",17-07-1978,24-09-1987,0,NA,25-09-1922,NA,0,NA,NA,"Law College, Madras",1944,Tamil Nadu,0,NA,0,Andhra Pradesh,0,21-08-1967,1,27-01-1967,1,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anand Prakash Sen
",17-07-1978,19-09-1988,0,NA,20-09-1923,NA,0,NA,NA,"Law College, Nagpur",1945,Maharashtra,0,NA,0,Madhya Pradesh,0,07-11-1967,1,29-07-1968,1,Rajasthan,NA,NA,1,2,16-02-1977,Rajasthan,28-02-1978,Madhya Pradesh,NA,NA,0,0,NA,Constitutional,Civil,Taxation,NA,NA,NA,NA,NA,NA
"Baharul Islam
",12-04-1980,01-12-1983,0,NA,01-03-1918,Assam,0,NA,NA,Aligarh Muslim University,1951,Assam,0,NA,0,Assam,NA,DNA,1,DNA,1,Nagaland,NA,NA,1,1,11-03-1979,Gauhati,07-07-1979,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Appajee Varadarajan
",12-10-1980,16-08-1985,0,NA,17-08-1920,Tamil Nadu,0,NA,NA,"Law College, Madras",1944,Tamil Nadu,0,NA,0,Madras,NA,15-02-1973,1,27-02-1974,NA,Madras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amarendra Nath Sen
",28-01-1981,30-09-1985,0,NA,01-10-1920,NA,0,NA,NA,Calcutta University,1947,West Bengal,0,NA,0,Calcutta,NA,15-11-1965,1,25-07-1966,NA,NA,NA,NA,1,1,26-12-1979,Calcutta,NA,NA,NA,NA,0,0,NA,Civil,NA,NA,NA,NA,NA,NA,NA,NA
"Vettath Balakrishna Eradi
",30-01-1981,18-06-1987,0,NA,19-06-1922,NA,0,NA,NA,Madras Law College,1945,Tamil Nadu,0,NA,0,Kerala,NA,05-04-1967,1,16-10-1967,0,NA,NA,NA,1,1,19-01-1980,Kerala,NA,NA,NA,NA,0,0,NA,Civil,Criminal,Taxation,NA,NA,NA,NA,NA,NA
"Ram Briksha Misra
",30-01-1981,14-06-1986,0,NA,15-06-1921,NA,0,NA,NA,Allahabad University,1946,Uttar Pradesh,0,NA,0,Allahabad,NA,03-01-1968,1,23-07-1969,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Civil,Revenue,Writ jurisdiction,NA,NA,NA,NA,NA,NA
"Dinshah Pirosha Madon
",15-03-1983,04-06-1986,0,NA,07-04-1921,NA,0,NA,NA,"Government Law College, Bombay",1944,Maharashtra,0,NA,0,Bombay,NA,25-09-1967,1,06-08-1969,NA,NA,NA,NA,1,1,11-08-1982,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manharlal Pranlal Thakkar
",15-03-1983,11-03-1988,0,NA,04-11-1923,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vazhakkulangarayil  Khalid
",25-06-1984,30-06-1987,0,NA,01-07-1922,NA,0,NA,NA,"Law College, Madras",1948,Tamil Nadu,NA,NA,0,Madras,NA,NA,1,07-03-1974,NA,NA,NA,NA,1,1,24-08-1983,Jammu and Kashmir,NA,NA,NA,NA,0,0,NA,Criminal,Civil,Writ proceedings,NA,NA,NA,NA,NA,NA
Goverdhan Lal Oza,29-10-1985,12-11-1989,0,NA,12-12-1924,Madhya Pradesh,0,NA,NA,"Madhav College, Ujjain",1948,Madhya Pradesh,0,NA,0,Madhya Pradesh,NA,29-07-1968,NA,NA,NA,NA,NA,NA,1,1,01-12-1984,Madhya Pradesh,NA,NA,NA,NA,0,0,NA,Constitutional,Civil,Criminal,Labour,NA,NA,NA,NA,NA
"Bankim Chandra Ray
",29-10-1985,31-10-1991,0,NA,01-11-1926,West Bengal,0,NA,NA,Calcutta University,1952,West Bengal,NA,NA,0,Calcutta,NA,10-06-1974,1,10-06-1974,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Civil,Criminal,Writ proceedings,NA,NA,NA,NA,NA,NA
"Murari Mohan Dutt
",03-10-1986,29-10-1989,0,NA,30-10-1924,West Bengal,0,NA,NA,Calcutta University,1952,West Bengal,NA,NA,0,Calcutta,NA,18-09-1969,1,25-05-1971,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Civil,Criminal,NA,NA,NA,NA,NA,NA,NA
"Sivasankar Natarajan
",03-10-1986,28-10-1989,0,NA,29-10-1924,NA,0,NA,NA,"Law College, Madras",1947,Tamil Nadu,0,NA,0,Madras,NA,15-02-1973,1,27-02-1974,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,Civil,Criminal,Taxation,NA,NA,NA,NA,NA,NA
"Kalmanje  Jagannatha Shetty
",05-01-1987,14-12-1991,0,NA,15-12-1926,Karnataka,0,NA,NA,"Osmania University, Hyderabad",1955,Andhra Pradesh,0,NA,0,Karnataka,NA,NA,1,24-10-1985,1,Allahabad,NA,NA,1,1,01-10-1986,Allahabad,NA,NA,NA,NA,0,0,NA,Civil,Service,Constitutional,NA,NA,NA,NA,NA,NA
"Srinivasachar Ranganathan
",10-05-1987,30-10-1992,0,NA,31-10-1927,NA,0,NA,NA,NA,1952,NA,NA,NA,0,Delhi,NA,14-11-1977,1,19-03-1978,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Senior Standing Counsel,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Narayan Dutta Ojha
",18-01-1988,18-01-1991,0,NA,19-01-1926,Uttar Pradesh,0,NA,NA,Allahabad University,1951,Uttar Pradesh,0,NA,0,Allahabad,NA,03-09-1971,1,12-12-1972,1,Madhya Pradesh,NA,NA,1,2,18-08-1986,Allahabad,"8th January, 1987*",Madhya Pradesh,NA,NA,0,0,NA,Civil,Constitutional,NA,NA,NA,NA,NA,NA,NA
S. Ratnavel Pandian,14-12-1988,03-12-1994,0,NA,13-02-1929,Tamil Nadu,0,NA,NA,Madras Law College,NA,Tamil Nadu,0,NA,0,Madras,NA,NA,1,01-02-1974,0,NA,NA,NA,1,1,18-01-1988,Madras,NA,NA,NA,NA,0,1,State Public Prosecutor,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T. Kochu Thommen
",14-12-1988,25-09-1993,0,NA,26-09-1928,Kerala,0,NA,NA,NA,1957,Kerala,0,NA,0,Kerala,NA,NA,1,09-05-1975,0,NA,NA,NA,1,1,1985,Kerala,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K.N. Saikia
",14-12-1988,28-02-1991,0,NA,01-03-1926,Assam,0,NA,NA,"J B College, Jorhat",1955,Gauhati,0,NA,0,Gauhati,NA,NA,1,12-02-1979,0,NA,NA,NA,1,1,20-12-1986,NA,NA,NA,NA,NA,0,0,NA,Civil,Criminal,Constitution,Revenue,NA,NA,NA,NA,NA
"Kuldip Singh
",14-12-1988,31-12-1996,0,NA,01-01-1932,NA,0,NA,NA,University of London,1959,Punjab,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Senior Standing Counsel,Constitutional Law,Service Law,Land Acquisition,Cooperation Law,Election matters,NA,NA,NA,NA
"V. Ramaswami
",10-06-1989,14-02-1994,0,NA,15-02-1929,NA,0,NA,NA,"Law College, Madras",1953,Tamil Nadu,0,NA,0,Madras,NA,NA,1,31-01-1971,1,Punjab and Haryana,NA,NA,1,1,12-11-1987,Punjab and Haryana,NA,NA,NA,NA,0,1,State Public Prosecutor,Civil,Criminal,NA,NA,NA,NA,NA,NA,NA
"P.B. Sawant
",10-06-1989,29-06-1995,0,NA,30-06-1930,NA,0,NA,NA,Bombay University,1957,Bombay,0,NA,0,Bombay,NA,NA,1,26-05-1905,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narendra Monhan Kasliwal,10-06-1989,04-03-1993,0,NA,04-04-1928,NA,0,NA,NA,NA,1954,Rajasthan,0,NA,0,Rajasthan,NA,15-06-1978,1,23-11-1978,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Civil,Constitutional,NA,NA,NA,NA,NA,NA,NA
"K. Ramaswamy
",10-06-1989,07-12-1997,0,NA,13-07-1932,Andhra Pradesh,0,NA,NA,Andhra University Law College,1962,Andhra Pradesh,0,NA,0,Andhra Pradesh,NA,29-09-1982,1,26-11-1982,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Senior Standing Counsel,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M. Fathima Beevi
",10-06-1989,29-04-1992,0,NA,30-04-1927,Kerala,1,NA,NA,"University College, Trivandrum",1950,Kerala,0,NA,0,Kerala,NA,04-08-1983,1,14-03-1984,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K. Jayachandra Reddy
",01-11-1990,14-07-1994,0,NA,15-07-1929,Tamil Nadu,0,NA,NA,Madras University,1951,Tamil Nadu,0,NA,0,Andhra Pradesh,NA,07-03-1975,1,30-06-1976,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Principal Public Prosecutor,NA,NA,NA,NA,NA,NA,NA,NA,NA
S.C. Agrawal,01-11-1990,09-04-1998,0,NA,05-09-1933,Rajasthan,0,NA,NA,"Birla College, Pilani; Rajasthan University",1955,Rajasthan,0,NA,0,Rajasthan,NA,15-06-1978,1,14-06-1980,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R.M. Sahai
",01-11-1990,24-06-1995,0,NA,NA,Uttar Pradesh,0,NA,NA,Allahabad University,1956,Uttar Pradesh,0,NA,0,Allahabad,NA,NA,1,27-01-1976,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Standing Cousel for UP,Sales Tax,NA,NA,NA,NA,NA,NA,NA,NA
"Yogeshwar Dayal
",22-03-1991,08-02-1994,0,NA,18-11-1930,Punjab,0,NA,NA,Delhi university,1953,Delhi,0,NA,0,Delhi,NA,NA,1,28-02-1974,1,Andhra Pradesh,NA,NA,1,2,21-08-1987,Delhi,18-03-1988,Andhra Pradesh,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shanmughasundaram Mohan
",10-07-1991,02-10-1995,0,NA,11-02-1930,NA,0,NA,NA,Madras University,1954,Tamil Nadu,0,NA,0,Madras,NA,01-02-1974,1,01-08-1975,1,Karnataka,NA,NA,1,2,13-12-1988,Madras,26.10.1989,Karnataka,NA,NA,0,1,Special Government Pleader,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B.P. Jeevan Reddy
",10-07-1991,13-03-1997,0,NA,14-03-1932,NA,0,NA,NA,Osmania University,1954,Andhra Pradesh,0,NA,0,Andhra Pradesh,NA,17-07-1975,1,28-01-1978,1,Allahabad,NA,NA,1,1,16-04-1990,Allahabad,NA,NA,NA,NA,0,0,NA,Civil,Constitutional,NA,NA,NA,NA,NA,NA,NA
"Ganendra Narayan Ray
",10-07-1991,30-04-1998,0,NA,01-05-1933,NA,0,NA,NA,Calcutta University,NA,Calcutta,0,NA,0,Calcutta,NA,23-12-1976,1,24-11-1977,1,Gujarat,NA,NA,1,1,02-12-1990,Gujarat,NA,NA,NA,NA,0,1,Senior Counsel for Central Government,Civil,Criminal,NA,NA,NA,NA,NA,NA,NA
"R.C. Patnaik",12-03-1991,30-05-1992,0,NA,28-07-1935,NA,0,NA,NA,NA,1958,Orissa,0,NA,0,Orissa,NA,NA,1,18-09-1981,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N.P. Singh
",15-06-1992,24-12-1996,0,NA,25-12-1931,NA,0,NA,NA,NA,1956,Bihar,0,NA,0,Patna,NA,NA,1,12-04-1973,1,Calcutta,NA,NA,1,2,1991,Patna,04-02-1992,Calcutta,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nanje Gowda Venkatachala
",07-01-1992,07-02-1995,0,NA,03-07-1930,Karnataka,0,NA,NA,Mysore University,1955,Karnataka,0,NA,0,Karnataka,NA,28-11-1977,1,08-09-1978,0,NA,NA,NA,1,1,01-05-1992,Karnataka,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manoj Kumar Mukherjee
",14-12-1993,30-11-1998,0,NA,01-12-1933,NA,0,NA,NA,NA,1956,West Bengal,0,NA,0,Calcutta,NA,17-06-1977,1,08-12-1977,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Criminal cases,Industrial Labour,NA,NA,NA,NA,NA,NA,NA
"Faizanuddin",14-12-1993,02-04-1997,0,NA,05-02-1932,Madhya Pradesh,0,NA,NA,"Hamidia College, Bhopal",1955,Madhya Pradesh,0,NA,0,Madhya Pradesh,NA,27-11-1978,1,27-05-1982,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,1,Standing Counsel for MP Wakf Board,Civil,Criminal,Revenue,NA,NA,NA,NA,NA,NA
"Banwari Lal Hansaria
",14-12-1993,24-12-1996,0,NA,25-12-1931,Assam,0,NA,NA,NA,1962,Assam,0,NA,0,Gauhati,NA,NA,1,09-02-1979,1,Orissa,NA,NA,1,1,22-02-1990,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suhash C. Sen
",06-11-1994,20-12-1997,0,NA,NA,West Bengal,0,NA,NA,Calcutta University,1960,West Bengal,0,NA,0,Calcutta,NA,23-11-1981,1,20-08-1982,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Taxation,Company Cases,Constitutional writ,NA,NA,NA,NA,NA,NA
Krishnaswami Sundara Paripoornan,06-11-1994,06-11-1997,0,NA,12-06-1932,NA,0,NA,NA,NA,1956,Kerala,0,NA,0,Kerala,NA,NA,1,23-12-1982,1,Patna,NA,NA,1,1,24-01-1994,Patna,NA,NA,NA,NA,0,1,Government Counsel,Civil,Taxation,NA,NA,NA,NA,NA,NA,NA
"Shailesh Bhadrayulal Majmudar
",19-09-1994,19-08-2000,0,NA,20-08-1935,NA,0,NA,NA,NA,1961,Gujarat,0,NA,0,Gujarat,NA,03-10-1978,1,19-07-1979,1,Andhra,Karnataka,02-07-1993,1,2,12-10-1992,Andhra,02-07-1993,Karnataka,NA,NA,0,0,Constitutional,Civil,Criminal,NA,NA,NA,NA,NA,NA,NA
"Sujata Vasant Manohar
",11-08-1994,27-08-1999,0,NA,28-08-1934,NA,1,NA,NA,"Elphinstone College, Bombay",1958,Maharashtra,0,NA,0,Bombay,NA,23-01-1978,1,28-11-1978,1,Kerala,NA,NA,1,2,15.1.1994,Bombay,21.4.1994,Kerala,NA,NA,0,1,Assistant Government Pleader,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Girish Thakorlal Nanavati
",03-06-1995,16-02-2000,0,NA,17-02-1935,NA,0,NA,NA,NA,1958,Maharashtra,0,NA,0,Gujarat,NA,NA,1,19-07-1979,1,Orissa,Karnataka,28-09-1994,1,2,31-01-1994,Orissa,28-09-1994,Karnataka,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saiyed Saghir Ahmad,03-06-1995,30-06-2000,0,NA,01-07-1935,NA,0,NA,NA,NA,1961,Uttar Pradesh,0,NA,0,Allahabad,NA,02-11-1981,1,30-12-1982,1,Jammu and Kashmir,Andhra Pradesh,23-09-1994,1,2,18-03-1994,Jammu and Kashmir,23-09-1994,Andhra Pradesh,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Konduswami Venkataswami
",03-06-1995,18-09-1999,0,NA,19-09-1934,NA,0,NA,NA,Madras University,1959,Tamil Nadu,0,NA,0,Madras,NA,NA,1,24-07-1983,1,Patna,NA,NA,1,1,19-06-1994,Patna,NA,NA,NA,NA,0,1,Government Pleader,Taxation,NA,NA,NA,NA,NA,NA,NA,NA
"Sudhakar Panditrao Kurdukar
",29-03-1996,15-01-2000,0,NA,16-01-1935,NA,0,NA,NA,NA,1961,Maharashtra,0,NA,0,Bombay,NA,25-04-1978,1,11-01-1979,1,Punjab & Haryana,NA,NA,1,1,16-01-1994,Punjab & Haryana,NA,NA,NA,NA,0,1,Public Prosecutor,Civil,Criminal,Writ,NA,NA,NA,NA,NA,NA
"Kallupurackal Thomas Thomas
",29-03-1996,29-01-2002,0,NA,30-01-1937,NA,0,NA,NA,NA,1960,Kerala,0,NA,0,Kerala,NA,12-08-1985,1,11-07-1986,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mamidana Jagannadha Rao
",21-03-1997,12-01-2000,0,NA,12-02-1935,NA,0,NA,NA,NA,1960,Andhra Pradesh,0,NA,0,Andhra Pradesh,NA,29-09-1982,1,29-11-1982,1,Kerala,Delhi,12-04-1994,1,1,08-08-1991,Kerala,NA,NA,NA,NA,0,0,NA,Civil,NA,NA,NA,NA,NA,NA,NA,NA
"Devinder Pratap Wadhwa
",21-03-1997,05-04-2000,0,NA,05-05-1935,NA,0,NA,NA,NA,1958,Punjab,0,NA,0,Delhi,NA,12-08-1983,1,23-02-1984,1,Patna,NA,NA,1,1,29-09-1995,Patna,NA,NA,NA,NA,0,1,Central Government Standing Counsel,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madhavachari Srinivasan
",25-09-1997,25-02-2000,0,NA,01-12-1937,NA,0,NA,NA,NA,1958,Tamil Nadu,0,NA,0,Madras,NA,NA,1,02-06-1986,1,Himachal Pradesh,NA,NA,1,1,12-08-1996,Madras,NA,NA,NA,NA,0,0,NA,Civil,Appeals,Revisions,Writs,NA,NA,NA,NA,NA
"Ajay Prakash Misra
",12-04-1997,31-08-2001,0,NA,01-09-1936,NA,0,NA,NA,NA,1960,Uttar Pradesh,0,NA,0,Allahabad,NA,NA,1,24-05-1984,1,Delhi,NA,NA,1,1,26-06-1997,Delhi,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syed Shah Mohammed Quadri
",12-04-1997,04-04-2003,0,NA,05-04-1938,NA,0,NA,NA,"Osmania University, Hyderabad",1963,Andhra Pradesh,0,NA,0,Andhra Pradesh,NA,NA,1,01-07-1986,0,NA,NA,NA,1,1,03-11-1997,Andhra Pradesh,NA,NA,NA,NA,0,1,Government Pleader,Constitution,Taxation,Civil,Criminal,NA,NA,NA,NA,NA
"Manharlal Bhikhalal Shah
",12-09-1998,24-09-2003,0,NA,25-09-1938,NA,0,NA,NA,NA,1962,Gujarat,0,NA,0,Gujarat,NA,28-01-1983,1,05-06-1983,1,Bombay,NA,NA,1,1,02-08-1995,Bombay,NA,NA,NA,NA,0,1,Ass. Public Prosecutor,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deba Priya Mohapatra
",12-09-1998,08-02-2002,0,NA,03-08-1937,NA,0,NA,NA,NA,1960,Orissa,0,NA,0,Orissa,NA,NA,1,18-11-1983,1,Allahabad,NA,NA,1,1,16-02-1996,Allahabad,NA,NA,NA,NA,0,1,State Standing Counsel,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Umesh Chandra Banerjee
",12-09-1998,17-11-2002,0,NA,18-11-1937,NA,0,NA,NA,NA,NA,West Bengal,0,NA,0,Calcutta,NA,NA,1,09-01-1984,1,Andhra Pradesh,NA,NA,1,1,01-02-1998,Andhra Pradesh,NA,NA,NA,NA,0,0,NA,Civil,Criminal,Writ,NA,NA,NA,NA,NA,NA
"N. Santosh Hegde
",01-08-1999,15-06-2005,0,NA,16-06-1940,NA,0,NA,NA,NA,1966,Karnataka,1,1984,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Solicitor General,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R.P. Sethi
",01-08-1999,07-06-2002,0,NA,07-07-1937,NA,0,NA,NA,NA,1961,Jammu and Kashmir,0,NA,0,Jammu and Kashmir,NA,30-05-1986,1,05-08-1987,1,Punjab and Haryana,Karnataka,29-06-1996,1,1,29-06-1996,Karnataka,NA,NA,NA,NA,0,1,Standing Counsel for Union of India,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sailendu Nath Phukan
",28-01-1999,31-03-2002,0,NA,01-04-1937,Assam,0,NA,NA,NA,1962,Assam,0,NA,0,Gauhati,NA,NA,1,11-10-1985,1,Himachal,Orissa,02-08-1996,1,1,NA,Himachal,01-03-1995,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doraiswamy Raju,28-01-2000,01-07-2004,0,NA,02-07-1939,Tamil Nadu,0,NA,NA,NA,1962,Tamil Nadu,1,1987,0,Madras,NA,NA,1,14-07-1990,1,Himachal,NA,NA,1,1,01-07-1998,Himachal,NA,NA,NA,NA,0,0,NA,Regular,Civil,Writ,Transport,Taxation,Land Tenure,NA,NA,NA
Ruma Pal,28-01-2000,03-06-2006,0,NA,03-06-1941,NA,1,NA,NA,NA,1968,West Bengal,0,NA,0,Calcutta,NA,NA,1,06-08-1990,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Variava Sam Nariman,15-03-2000,08-11-2005,0,NA,08-11-1940,Maharashtra,0,NA,NA,NA,1964,Maharashtra,0,NA,0,Bombay,NA,NA,1,12-06-1987,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shivaraj V. Patil,15-03-2000,11-01-2005,0,NA,12-01-1940,Karnataka,0,NA,NA,NA,1962,Karnataka,0,NA,0,of Karnataka,NA,NA,1,29-03-1990,1,of Madras,of Rajasthan,22-01-1999,1,2,28-12-1990,Madras,22-01-1999,Rajasthan,NA,NA,0,0,NA,Criminal,Civil,NA,NA,NA,NA,NA,NA,NA
"Brijesh Kumar
",19-10-2000,09-06-2004,0,NA,10-06-1939,Uttar Pradesh,0,NA,NA,NA,1960,Uttar Pradesh,0,NA,0,Allahabad,NA,NA,1,24-05-1984,1,Guwahati,NA,NA,1,2,NA,Allahabad,12-02-1999,Guawahati,NA,NA,0,1,Union and State Standing Counsel,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bishwa Nath Agrawal,19-10-2000,15-10-2009,0,NA,15-10-1944,NA,0,NA,NA,NA,1966,Bihar,0,NA,0,Patna,NA,NA,1,17-11-1986,1,Orissa,NA,NA,1,1,18-11-1999,Orissa,NA,NA,NA,NA,0,0,NA,Civil,Constitutional,NA,NA,NA,NA,NA,NA,NA
