Judges,Date of Appointment,Whether died in office,Whether resigned from office,Date of Birth,Intended Date of Retirement,Cadre of Appointment,Parent High Court,Appointing Authority,Gender,Schooling - Whether Information available in the SC website,Graduating Institution- Whether infromation available in the SC Website,Gracuation Subject- Whether information available in SC website,institution from the judge got his/her law degree- Whether information available in SC Website,year of being awarded the law degree -Whether information available in SC Website,year of enrollment at the Bar - Whether information available in SC website,area of legal practice- Whether information available in SC Website,Chamber details- Whether information available in the SC Website,Government Emapanelment- Whether information available in SC website,Empanelment in Private Corporations- Whether information available in SC website
Harilal Jekisundas Kania,20 June 1946,Yes,No,03-11-1890,02 November 1955,Hc-Bar,Bombay,british,Male,No,Yes,No,Yes,No,Yes,No,No,No,No
Sir Saiyid Fazl Ali,09 June 1947,No,No,19-09-1886,18 September 1951,Hc-Bar,Patna,british,Male,Yes,Yes,No,No,No,No,No,No,No,No
M. Patanjali Sastri,06 December 1947,No,No,04-01-1889,03 January 1954,Hc-Bar,Madras,executive,Male,No,Yes,No,Yes,No,No,No,No,No,No
Mehr Chand Mahajan,04 October 1948,No,No,23-12-1889,22 December 1954,Hc-Bar,Lahore,executive,Male,No,No,No,No,No,No,No,No,No,No
Bijan Kumar Mukherjea,14 October 1948,No,Yes,15-08-1891,14 August 1956,Hc-Bar,Calcutta,executive,Male,No,Yes,No,Yes,No,Yes,No,No,Yes,No
Sudhi Ranjan Das,20 January 1950,No,No,01-10-1894,30 September 1959,Hc-Bar,Calcutta,executive,Male,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
N. Chandrasekhara Aiyar,23 September 1950,No,No,25-01-1888,24 January 1953,HC-Service,Madras,executive,Male,No,Yes,No,Yes,No,Yes,No,No,No,No
Vivian Bose,05 March 1951,No,No,09-06-1891,08 June 1956,Hc-Bar,Madhya Pradesh,executive,Male,No,Yes,No,Yes,No,Yes,No,No,Yes,No
Ghulam Hasan,08 September 1952,Yes,No,03-07-1891,02 July 1956,Hc-Bar,Allahabad,executive,Male,No,No,No,No,No,No,No,No,No,No
Natwarlal Harilal Bhagwati,08 September 1952,No,No,07-08-1894,06 June 1959,Hc-Bar,Bombay,executive,Male,No,Yes,No,No,Yes,Yes,No,No,No,No
B. Jagannadhadas,09 March 1953,No,Yes,27-07-1893,26 July 1958,Hc-Bar,Orissa,executive,Male,No,Yes,No,No,Yes,Yes,Yes,No,No,No
T.L. Venkatarama Aiyyar,04 January 1954,No,No,25-11-1893,24 November 1958,Hc-Bar,Madras,executive,Male,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No
Bhuvneshwar Prasad Sinha,03 December 1954,No,No,01-02-1899,31 January 1964,Hc-Bar,Patna,executive,Male,Yes,Yes,No,Yes,No,No,No,No,No,No
Syed Jaffer Imam,10 January 1955,No,Yes,18 April 1900,17 April 1965,Hc-Bar,Patna,executive,Male,Yes,No,No,No,No,Yes,No,No,Yes,No
S.K. Das,30 April 1956,No,No,03-09-1898,02 September 1963,Hc-Bar,Patna,executive,Male,Yes,No,No,No,No,No,No,No,No,No
P. Govinda Menon,01 September 1956,Yes,No,10-09-1896,09 September 1961,Hc-Bar,Madras,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
J.L. Kapur,14 January 1957,No,No,13-12-1897,12 December 1962,Hc-Bar,Punjab and Haryana,executive,Male,No,Yes,No,No,Yes,No,No,No,No,No
P.B. Gajendragadkar,17 January 1957,No,No,16 March 1901,15 March 1966,Hc-Bar,Bombay,executive,Male,Yes,Yes,No,Yes,Yes,No,No,No,No,No
A.K. Sarkar,04 March 1957,No,No,29 June 1901,29 June 1966,Hc-Bar,Calcutta,executive,Male,Yes,Yes,No,Yes,No,No,No,No,No,No
K. Subba Rao,31 January 1958,No,Yes,15 July 1902,14 July 1967,Hc-Bar,Madras,executive,Male,No,Yes,No,Yes,No,No,No,No,No,No
K.N. Wanchoo,11 August 1958,No,No,25 February 1903,24 February 1968,Hc-Bar,Allahabad,executive,Male,Yes,No,No,No,No,No,No,No,No,No
M. Hidayatullah,01 December 1958,No,No,17 December 1905,16 December 1970,Hc-Bar,Madhya Pradesh,executive,Male,Yes,No,No,No,No,Yes,No,No,Yes,No
K.C. Das Gupta,24 August 1959,No,No,03 January 1901,02 January 1965,Hc-Bar,Calcutta,executive,Male,Yes,No,No,No,No,Yes,No,No,No,No
J.C. Shah,12 October 1959,No,No,22 January 1906,21 January 1971,Hc-Bar,Bombay,executive,Male,Yes,No,No,No,No,No,No,No,No,No
N. Rajagopala Ayyangar,27 July 1960,No,No,15-12-1899,14 December 1964,Hc-Bar,Madras,executive,Male,No,No,No,No,No,Yes,No,Yes,No,No
Raghubar Dayal,27 July 1960,No,No,26 October 1900,25 October 1965,Hc-Bar,Allahabad,executive,Male,Yes,No,No,No,No,No,No,No,No,No
J.R. Mudholkar,03 October 1960,No,Yes,09 May 1902,08 May 1967,Hc-Bar,Madhya Pradesh,executive,Male,Yes,Yes,No,No,No,No,No,No,No,No
S.M. Sikri,03 February 1964,No,No,26 April 1908,25 April 1973,Hc-Bar,Appointed directly from the Bar,executive,Male,No,No,No,No,No,No,No,No,Yes,No
R.S. Bachawat,07 September 1964,No,No,01 August 1904,31 July 1969,Hc-Bar,Calcutta,executive,Male,No,Yes,No,Yes,Yes,Yes,No,No,No,No
V. Ramaswami,04 January 1965,No,No,30 October 1904,29 October 1969,Hc-Bar,Patna,executive,Male,No,No,No,No,No,No,No,No,No,No
P. Satyanarayana Raju,20 October 1965,Yes,No,17 August 1908,16 August 1973,Hc-Bar,Andhra Pradesh,executive,Male,No,No,No,No,No,Yes,No,No,Yes,No
J.M. Shelat,24 February 1966,No,Yes,16-07-1908,15 July 1973,Hc-Bar,Bombay,executive,Male,Yes,Yes,Yes,No,No,Yes,No,No,No,No
Vishishtha Bhargava,08 August 1966,No,No,05 February 1906,04 February 1971,Hc-Bar,Allahabad,executive,Male,No,No,No,No,No,No,No,No,No,No
G.K. Mitter,29 August 1966,No,No,24 September 1906,23 September 1971,Hc-Bar,Calcutta,executive,Male,Yes,No,No,No,No,Yes,No,No,No,No
C.A. Vaidialingam,10 October 1966,No,No,30 June 1907,29 June 1972,Hc-Bar,Kerala,executive,Male,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
K.S. Hegde,17 July 1967,No,Yes,11 June 1909,10 June 1974,Hc-Bar,Karnataka,executive,Male,No,No,No,Yes,No,Yes,No,No,No,No
A.N. Grover,11 February 1968,No,Yes,15 February 1912,14 February 1977,Hc-Bar,Punjab and Haryana,executive,Male,No,No,No,Yes,Yes,Yes,No,No,No,No
I.D. Dua,01 August 1969,No,No,04 October 1907,03 October 1972,Hc-Bar,Punjab and Haryana,executive,Male,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No
P. Jaganmohan Reddy,01 August 1969,No,No,23 January 1910,22 January 1975,Hc-Bar,Andhra Pradesh,executive,Male,No,No,No,No,No,No,No,No,Yes,No
A.N. Ray,01 August 1969,No,No,29 January 1912,28 January 1977,Hc-Bar,Calcutta,executive,Male,Yes,No,Yes,No,No,Yes,No,No,No,No
Subimal Chandra Roy,19 July 1971,Yes,No,29 May 1912,28 May 1977,Hc-Bar,Appointed directly from the Bar,executive,Male,No,No,No,No,No,No,Yes,No,Yes,No
D.G. Palekar,19 July 1971,No,No,09 April 1909,03 September 1974,Hc-Bar,Bombay,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Hans Raj Khanna,22 September 1971,No,Yes,03 June 1912,02 June 1977,Hc-Bar,Punjab and Haryana,executive,Male,Yes,Yes,No,Yes,No,No,No,No,No,No
Kuttyil Kurien Mathew,04 October 1971,No,No,03 January 1911,02 January 1976,Hc-Bar,Kerala,executive,Male,Yes,Yes,No,Yes,No,No,No,No,No,No
M. Hameedullah Beg,10 December 1971,No,No,22 February 1913,21 February 1978,Hc-Bar,Allahabad,executive,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
A.K. Mukherjea,14 August 1972,Yes,No,20 January 1915,19 January 1980,Hc-Bar,Calcutta,executive,Male,Yes,No,No,No,No,Yes,Yes,No,Yes,No
S.N. Dwivedi,14 August 1972,Yes,No,01 October 1918,30 September 1983,Hc-Bar,Allahabad,executive,Male,Yes,No,No,No,No,Yes,Yes,No,No,No
Y.V. Chandrachud,28 August 1972,No,No,12 July 1920,11 July 1985,Hc-Bar,Bombay,executive,Male,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
A. Alagiriswami,17 October 1972,No,No,17 October 1910,16 October 1975,Hc-Bar,Madras,executive,Male,No,Yes,Yes,No,No,No,No,No,No,No
V.R. Krishna Iyer,17 July 1973,No,No,15-11-1915,14 November 1980,Hc-Bar,Kerala,executive,Male,No,No,No,No,No,No,No,No,No,No
P.N. Bhagwati,17 July 1973,No,No,21 December 1921,20 December 1986,Hc-Bar,Gujarat,executive,Male,No,Yes,Yes,Yes,No,No,No,No,No,No
P.K. Goswami,10 September 1973,No,No,01 January 1913,31 December 1977,Hc-Bar,Assam,executive,Male,Yes,Yes,No,Yes,No,Yes,No,No,No,No
R.S. Sarkaria,17 September 1973,No,No,16 January 1916,15 January 1981,Hc-Bar,Punjab and Haryana,executive,Male,No,Yes,No,Yes,Yes,No,No,No,No,No
A.C. Gupta,02 September 1974,No,No,01 January 1917,31 December 1981,Hc-Bar,Calcutta,executive,Male,No,No,No,No,No,Yes,Yes,No,No,No
N.L. Untwalia,03 October 1974,No,No,01 August 1915,31 July 1980,Hc-Bar,Patna,executive,Male,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
S. Murtaza Fazal Ali,02 April 1975,Yes,No,20 December 1920,19 December 1985,Hc-Bar,Jammu and Kashmir,executive,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No
P.N. Shingal,06 November 1975,No,No,15 October 1915,14 October 1980,Hc-Bar,Rajasthan,executive,Male,No,No,No,No,No,No,No,No,No,No
Jaswant Singh,23 January 1976,No,No,25 January 1914,24 January 1979,Hc-Bar,Jammu and Kashmir,executive,Male,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No
P.S. Kailasam,03 January 1977,No,No,12 September 1915,11 September 1980,Hc-Bar,Madras,executive,Male,Yes,No,No,No,No,Yes,No,Yes,Yes,No
D.A. Desai,30 September 1977,No,No,09 May 1920,08 May 1985,Hc-Bar,Gujarat,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
V.D. Tulzapurkar,30 September 1977,No,No,09 March 1921,08 March 1986,Hc-Bar,Bombay,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
R.S. Pathak,20 February 1978,No,Yes,25 November 1924,24 November 1989,Hc-Bar,Allahabad,executive,Male,Yes,No,No,No,No,Yes,Yes,No,No,No
A.D. Koshal,17 July 1978,No,No,07 March 1917,06 March 1982,Hc-Bar,Punjab and Haryana,executive,Male,Yes,Yes,No,Yes,No,Yes,No,No,No,No
O. Chinnappa Reddy,17 July 1978,No,No,25 September 1922,24 September 1987,Hc-Bar,Andhra Pradesh,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
A.P. Sen,17 July 1978,No,No,20 September 1923,19 September 1988,Hc-Bar,Madhya Pradesh,executive,Male,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
E.S. Venkataramiah,08 March 1979,No,No,18 December 1924,17 December 1989,Hc-Bar,Karnataka,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
Baharul Islam,04 December 1980,No,Yes,01 March 1918,28 February 1983,Hc-Bar,Assam,executive,Male,Yes,No,No,No,No,Yes,No,No,No,No
A. Varadarajan,10 December 1980,No,No,17 August 1920,16 August 1985,Hc-Bar,Madras,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Amarendra Nath Sen,28 January 1981,No,No,01 October 1920,30 September 1985,Hc-Bar,Calcutta,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
R.B. Misra,30 January 1981,No,No,15 June 1921,14 June 1986,Hc-Bar,Allahabad,executive,Male,Yes,Yes,No,No,No,Yes,Yes,No,No,No
V. Balakrishna Eradi,30 January 1981,No,No,19 June 1922,18 June 1987,Hc-Bar,Kerala,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
D.P. Madon,15 March 1983,No,No,07 April 1921,06 April 1986,Hc-Bar,Bombay,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
M.P. Thakkar,15 March 1983,No,No,04 November 1923,03 November 1988,Hc-Bar,Gujarat,executive,Male,Yes,No,No,No,No,Yes,Yes,No,No,No
Sabyasachi Mukherjee,15 March 1983,Yes,No,01 June 1927,31 May 1992,Hc-Bar,Calcutta,executive,Male,Yes,Yes,Yes,No,No,Yes,No,No,No,No
Ranganath Misra,15 March 1983,No,No,25 November 1926,24 November 1991,Hc-Bar,Orissa,executive,Male,Yes,No,No,No,No,Yes,Yes,No,No,No
V. Khalid,25 June 1984,No,No,01 July 1922,30 June 1987,Hc-Bar,Kerala,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
G.L. Oza,29 October 1985,No,No,12 December 1924,11 December 1989,Hc-Bar,Madhya Pradesh,executive,Male,No,No,No,No,No,Yes,Yes,No,No,No
B.C. Ray,29 October 1985,No,No,01 November 1926,31 October 1991,Hc-Bar,Calcutta,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
S. Natarajan,10 March 1986,No,No,29 October 1924,28 October 1989,Hc-Bar,Madras,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
M.M. Dutt,10 March 1986,No,No,29 January 1952,29 October 1989,Hc-Bar,Calcutta,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
K.N. Singh,10 March 1986,No,No,13 December 1926,12 December 1991,Hc-Bar,Allahabad,executive,Male,Yes,No,No,No,No,Yes,Yes,No,Yes,No
K. Jagannatha Shetty,01 May 1987,No,No,15 December 1926,14 December 1991,Hc-Bar,Karnataka,executive,Male,No,Yes,No,Yes,No,Yes,Yes,No,No,No
M.H. Kania,01 May 1987,No,No,18 November 1927,17 November 1992,Hc-Bar,Bombay,executive,Male,No,No,No,Yes,No,No,No,No,Yes,No
S. Ranganathan,05 October 1987,No,No,31 October 1927,30 October 1992,Hc-Bar,Delhi,executive,Male,No,No,No,No,No,Yes,No,No,Yes,No
L.M. Sharma,05 October 1987,No,No,12 February 1928,11 February 1993,Hc-Bar,Patna,executive,Male,No,Yes,No,Yes,Yes,Yes,No,No,No,No
M.N. Venkatachaliah,05 October 1987,No,No,25 October 1929,24 October 1994,Hc-Bar,Karnataka,executive,Male,No,Yes,No,Yes,No,No,No,No,No,No
D.N. Ojha,18 January 1988,No,No,19 January 1926,18 January 1991,Hc-Bar,Allahabad,executive,Male,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
K.N. Saikia,14 December 1988,No,No,01 March 1926,28 February 1991,Hc-Bar,Assam,executive,Male,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
T.K. Thommen,14 December 1988,No,No,26 September 1928,25 September 1993,Hc-Bar,Kerala,executive,Male,No,No,Yes,No,No,Yes,No,No,No,No
S. Ratnavel Pandian,14 December 1988,No,No,13 February 1929,12 March 1994,Hc-Bar,Madras,executive,Male,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
Kuldip Singh,14 December 1988,No,No,01 January 1932,31 December 1996,Hc-Bar,Appointed directly from the Bar,executive,Male,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No
A.M. Ahmadi,14 December 1988,No,No,25 March 1932,24 March 1997,Hc-Bar,Gujarat,executive,Male,No,No,No,No,No,Yes,No,No,No,No
J.S. Verma,06 March 1989,No,No,18 January 1933,17 January 1998,Hc-Bar,Madhya Pradesh,executive,Male,Yes,Yes,No,No,No,Yes,Yes,No,No,No
M.M. Punchhi,06 October 1989,No,No,10 October 1933,09 October 1998,Hc-Bar,Punjab and Haryana,executive,Male,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
M. Fathima Beevi,06 October 1989,No,No,30 April 1927,29 April 1992,Hc-Bar,Kerala,executive,Female,Yes,Yes,No,Yes,No,Yes,No,No,No,No
N.M. Kasliwal,06 October 1989,No,No,04 April 1928,03 April 1993,Hc-Bar,Rajasthan,executive,Male,No,No,No,No,No,Yes,Yes,No,No,No
V. Ramaswami,06 October 1989,No,No,15 February 1929,14 February 1994,Hc-Bar,Madras,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
P.B. Sawant,06 October 1989,No,No,30 June 1930,29 June 1995,Hc-Bar,Bombay,executive,Male,No,No,Yes,Yes,No,No,Yes,No,No,No
K. Ramaswamy,06 October 1989,No,No,13 July 1932,12 July 1997,Hc-Bar,Andhra Pradesh,executive,Male,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
K. Jayachandra Reddy,11 January 1990,No,No,15 July 1929,14 July 1994,Hc-Bar,Andhra Pradesh,executive,Male,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
R.M. Sahai,11 January 1990,No,No,25 June 1930,24 June 1995,Hc-Bar,Allahabad,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
S.C. Agrawal,11 January 1990,No,No,05 September 1933,04 September 1998,Hc-Bar,Rajasthan,executive,Male,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
Yogeshwar Dayal,22 March 1991,Yes,No,18 November 1930,17 November 1995,Hc-Bar,Delhi,executive,Male,No,Yes,No,Yes,No,No,No,No,No,No
S. Mohan,07 October 1991,No,No,11 February 1930,10 February 1995,Hc-Bar,Madras,executive,Male,No,Yes,No,Yes,No,Yes,No,No,No,No
B.P. Jeevan Reddy,07 October 1991,No,No,14 March 1932,13 March 1997,Hc-Bar,Andhra Pradesh,executive,Male,No,Yes,No,Yes,No,No,Yes,No,No,No
G.N. Ray,07 October 1991,No,No,01 May 1933,30 April 1998,Hc-Bar,Calcutta,executive,Male,No,Yes,No,Yes,No,No,Yes,No,Yes,No
A.S. Anand,18 November 1991,No,No,01 November 1936,31 October 2001,Hc-Bar,Jammu and Kashmir,executive,Male,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
R.C. Patnaik,03 December 1991,Yes,No,28 July 1935,27 July 2000,Hc-Bar,Orissa,executive,Male,No,No,No,No,No,Yes,Yes,No,No,No
S.P. Bharucha,07 January 1992,No,No,06 May 1937,05 May 2002,Hc-Bar,Bombay,executive,Male,No,No,No,No,No,Yes,Yes,No,No,No
N.P. Singh,15 June 1992,No,No,25 December 1931,24 December 1996,Hc-Bar,Patna,executive,Male,No,No,No,No,No,Yes,No,No,No,No
N. Venkatachala,01 July 1992,No,No,03 July 1930,02 July 1995,Hc-Bar,Karnataka,executive,Male,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
B.L. Hansaria,14 December 1993,No,No,25 December 1931,24 December 1996,Hc-Bar,Assam,collegium,Male,No,No,No,No,No,Yes,No,No,No,No
Faizanuddin,14 December 1993,No,No,05 February 1932,04 February 1997,Hc-Bar,Madhya Pradesh,collegium,Male,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
M.K. Mukherjee,14 December 1993,No,No,01 December 1933,30 November 1998,Hc-Bar,Calcutta,collegium,Male,No,No,No,No,No,Yes,Yes,No,No,No
K.S. Paripoornan,11 June 1994,No,No,12 June 1932,11 June 1997,Hc-Bar,Kerala,collegium,Male,No,No,No,No,No,Yes,Yes,No,Yes,No
S.C. Sen,11 June 1994,No,No,19 December 1932,20 December 1997,Hc-Bar,Calcutta,collegium,Male,No,No,No,Yes,No,Yes,Yes,No,No,No
S.B. Majumdar,19 September 1994,No,No,20 August 1935,19 August 2000,Hc-Bar,Gujarat,collegium,Male,No,No,No,No,No,Yes,Yes,No,No,No
Sujata V. Manohar,08 November 1994,No,No,28 August 1934,27 August 1999,Hc-Bar,Bombay,collegium,Female,Yes,No,No,No,No,Yes,Yes,No,Yes,No
K. Venkataswami,06 March 1995,No,No,19 September 1934,18 September 1999,Hc-Bar,Madras,collegium,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
G.T. Nanavati,06 March 1995,No,No,17 February 1935,16 February 2000,Hc-Bar,Gujarat,collegium,Male,No,No,No,No,No,Yes,No,No,No,No
